	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Lipid;Lysolipid;1-(1-enyl-oleoyl)-GPE (P-18:1)*	1.018	0.476	0.476	0.476	0.569	0.476	0.59	0.476	0.476	0.6161	1.4104	0.7608	1.873	1	0.7489
Lipid;Phospholipid Metabolism;1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	1.7327	1.6758	1.7215	1.5761	1.8315	1.2877	1.7449	1.076	1.4951	1.5161	0.5622	0.8704	1.0562	0.9438	0.5215
Lipid;Plasmalogen;1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	1.8186	1.342	1.3597	2.0888	1.4443	0.6545	0.8514	0.4785	1.0028	0.8202	0.7057	1.146	1.4164	0.8779	0.7227
Lipid;Phospholipid Metabolism;1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	0.9307	1.629	1.5664	1.0265	1.3494	1.0286	1.1562	0.7255	1.2334	0.9566	0.588	0.9054	1.1281	0.8143	0.4493
Lipid;Plasmalogen;1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	0.6913	0.9795	1.2269	1.1097	0.6913	0.6913	0.6913	0.6913	0.6913	0.6913	0.6913	0.8923	1.0775	0.6913	0.6913
Lipid;Plasmalogen;1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	1.6579	0.9773	0.9049	0.7441	1.2372	1.0227	1.2559	1.0418	1.2077	1.0912	0.2946	0.2946	0.347	0.2946	0.2946
Lipid;Lysoplasmalogen;1-(1-enyl-palmitoyl)-GPC (P-16:0)*	1.2635	0.9091	0.8441	0.8841	1.2644	0.9092	1.1765	1	1.0799	1.2113	0.7526	0.7558	1.1018	0.8532	0.7105
Lipid;Lysoplasmalogen;1-(1-enyl-palmitoyl)-GPE (P-16:0)*	0.6436	0.7695	5.81E-01	0.7483	0.9126	0.5973	7.56E-01	0.4862	0.5612	0.6361	1.5557	1.4998	2.4783	1.5312	1.0874
Lipid;Phospholipid Metabolism;1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	1.328	1.247	1.386	1.5078	1.4244	0.7558	0.885	0.3878	1.2499	0.7071	0.8077	1.1299	1.4843	0.9253	0.5596
Lipid;Lysolipid;1-(1-enyl-stearoyl)-GPE (P-18:0)*	0.771	1.3679	0.5559	0.257	0.5678	0.3101	0.8591	0.5827	0.3902	0.6095	1.9033	1.3838	2.3288	1	1.0265
Xenobiotics;Chemical;1-(3-aminopropyl)-2-pyrrolidone	1.4143	1.5586	0.9589	0.2918	0.6546	2.2657	1.8743	2.8174	1.621	1.4262	1.2768	0.3772	0.9736	1.6451	0.814
Lipid;Phospholipid Metabolism;1,2-dilinoleoyl-GPC (18:2/18:2)	1.1121	2.0141	1.9282	1.2189	1.744	0.5513	0.5509	0.4243	0.7513	0.5969	1.1681	0.9978	1.0022	0.6834	0.6223
Lipid;Phospholipid Metabolism;1,2-dipalmitoyl-GPC (16:0/16:0)	0.9872	0.9223	0.9661	0.8962	0.9618	0.5735	0.8566	0.5332	0.7662	0.7759	1.0572	1.2653	1.7173	1.2505	1.0128
Lipid;Phospholipid Metabolism;1,2-distearoyl-GPC (18:0/18:0)	0.3721	1.5229	1.7882	0.8026	1.04	1	1.2395	0.3721	1.676	1.2076	0.5505	1.1268	1.5886	1.0396	0.3721
Carbohydrate;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;1,5-anhydroglucitol (1,5-AG)	1.1536	0.8278	0.4784	0.8063	0.5393	0.6272	4.81E-01	0.4968	0.4274	0.5967	1.6787	1.0467	1.5202	1.311	1.318
Lipid;Long Chain Fatty Acid;10-heptadecenoate (17:1n7)	1.0209	0.943	0.951	0.7623	0.9512	1.1417	1.2679	0.3075	1.3626	1.1801	0.7826	0.9791	1.5272	0.7881	0.8534
Lipid;Long Chain Fatty Acid;10-nonadecenoate (19:1n9)	1.0575	1.1412	1.1555	0.378	0.9363	0.4649	1.3526	0.3284	1.4291	0.9425	0.7838	1.1217	1.3104	0.6178	0.8853
Lipid;Medium Chain Fatty Acid;10-undecenoate (11:1n1)	0.3279	0.7662	0.5942	0.2584	1.0175	0.8357	0.9825	0.3302	1.0372	1.2669	1.1906	1.054	0.7593	0.708	1.1298
Lipid;Fatty Acid, Dihydroxy;12,13-DiHOME	0.5099	1.6776	1.6934	0.7243	1.2727	0.5413	1.0163	0.7202	1.3614	1.6207	0.6686	0.6116	1.2196	0.7964	0.9155
Lipid;Eicosanoid;12-HETE	0.5777	1.9537	1.2101	6.4291	1.1345	0.0621	0.9964	0.5648	1.9077	1.2782	0.395	1.0036	0.9126	0.7932	0.8145
Lipid;Fatty Acid, Monohydroxy;13-HODE + 9-HODE	0.9204	1.687	1.2811	1.0149	0.5836	0.4475	0.9851	0.3604	1.2931	0.8471	0.681	1.0719	1.1628	0.6725	0.4293
Lipid;Fatty Acid, Branched;15-methylpalmitate	0.8651	1.2214	0.955	0.6678	1.0158	0.8198	1.185	0.8334	1.0325	1.0277	0.9837	0.9842	1.2649	0.9311	1.0965
Lipid;Fatty Acid, Monohydroxy;16-hydroxypalmitate	1.1837	1.8562	1.6635	0.887	1.0259	0.4649	1.0478	0.5357	1.3662	1.1452	0.4732	0.9586	1.2102	0.8567	0.6698
Lipid;Fatty Acid, Branched;17-methylstearate	0.791	1.3396	1.0866	0.4342	1.0713	0.78	1.0197	0.7726	1.204	1.0737	0.8765	0.768	1.415	0.6444	0.9087
Lipid;Lysolipid;1-arachidonoyl-GPA (20:4)	6.50E-01	0.6499	0.6499	0.6499	0.6499	0.6499	0.6499	0.6499	2.0987	3.2472	0.6499	0.6499	0.6499	2.1929	0.6499
Lipid;Lysolipid;1-arachidonoyl-GPC (20:4)*	1.3132	1.6566	1.7353	1.0895	1.6664	0.883	1.2111	0.4784	1.3431	1.2666	0.8167	0.9506	0.7735	0.4571	0.6191
Lipid;Lysolipid;1-arachidonoyl-GPE (20:4)*	1.3451	1.961	1.9527	1.1428	1.8172	0.6469	0.7495	0.3502	0.8409	0.7844	1.275	1.2488	0.953	0.9224	0.6917
Lipid;Lysolipid;1-arachidonoyl-GPI (20:4)*	0.7962	1.8976	1.5577	0.4474	1.5268	1.3261	1.4694	0.2407	0.9451	1.1893	0.9994	0.7624	0.9706	1.0006	0.7946
Lipid;Monoacylglycerol;1-arachidonylglycerol (20:4)	0.2593	0.6933	0.2593	0.2593	0.9372	0.5097	1.0374	0.2593	0.6277	1.0036	1.3419	1.257	0.9964	0.3402	0.5953
Lipid;Monoacylglycerol;1-dihomo-linolenylglycerol (20:3)	0.3381	0.9435	0.4329	0.3381	0.7953	0.3381	0.7022	0.3381	0.4442	0.5741	2.6395	1.3813	1.2354	0.3588	1.0565
Lipid;Fatty Acid, Keto;1-dihomo-linoleoylglycerol (20:2)	6.08E-01	0.9752	0.6076	0.6076	0.766	6.08E-01	0.6076	6.08E-01	0.6076	0.6076	1.6374	1	0.6076	0.6076	1.3129
Lipid;Monoacylglycerol;1-docosahexaenoylglycerol (22:6)	0.0837	0.0837	0.0837	0.0837	0.1112	0.1926	0.2771	0.0837	0.0837	0.1285	2.2472	1.7037	1.2026	0.5752	0.7974
Lipid;Lysolipid;1-lignoceroyl-GPC (24:0)	1.4187	1.4747	1.223	1.1717	1.9672	1.0942	1.5817	0.953	1.681	1.3503	0.8653	0.7038	1.0252	0.9023	0.5942
Lipid;Monoacylglycerol;1-linolenoylglycerol (18:3)	0.4122	1.0641	6.83E-01	0.4122	0.4475	0.7139	0.6175	0.4122	0.6347	0.4122	2.8947	2.8573	0.9985	0.6879	1.0015
Lipid;Lysolipid;1-linolenoyl-GPC (18:3)*	1.0811	1.2863	1.6105	1.0601	1.3016	0.6092	0.9156	0.2768	1.058	0.9615	0.7466	1.104	0.8518	0.6678	0.5343
Lipid;Phospholipid Metabolism;1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*	1.7581	2.0266	1.8337	1.597	1.9522	0.7162	1.047	0.6068	1.0606	0.9031	0.794	1.15	0.953	0.5019	0.5266
