Taxon	Control1	Control2	Control3	Control4	Control5	Case1	Case2	Case3	Case4	Case5	Outgroup1	Outgroup2	Outgroup3	Outgroup4	Outgroup5
Bacteria;Other;Other;Other;Other;Other	0.210248566	0.141535921	0.232096103	0.172020218	0.325734688	0.287082116	0.000310694	0.22965033	0.000248849	0.009155322	0.00042735	0	0	0.003119584	0.025382175
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	0	0	3.85E-05	0	0	0	6.21E-05	0	0	0.000318446	0	0.000234082	0	0.00011554	0.000144217
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0	0.000330306	0.000539042	0	0.001235924	0.000567997	0.000807805	0.000143308	0.000124425	0.000398057	0	0	0.000121477	0	0.000144217
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.349063098	0.085879438	0.102456492	0.100766346	0.090497116	0.123661149	0.000869943	0.138650043	0.191862635	0.002627179	0.561196581	0.000234082	0.001214772	0.355170422	0.082636285
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.025391969	0.289347647	0.11627907	0.067340616	0.2114117	0.125040571	0.748586342	0.426984809	0.471942267	0.462940849	0.059316239	0.232677903	0.222546161	0.049451184	0.497980963
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;	0.005047801	0	0.000231018	0.010272297	0.000480637	0.036027264	6.21E-05	0.004729149	0	0	0	0.007022472	0.050413022	0.005777008	0.000144217
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;	0.058814532	0.087035508	0.189473279	0.039458666	0.093655589	0.105890944	0.035667682	0.012969332	0.038696031	0.056603774	0.147777778	0.211844569	0.137998056	0.039399191	0.034323623
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Barnesiellaceae];	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Paraprevotellaceae];Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia	0	0	0	0.218164031	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;4C0d-2;YS2;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.042523901	0	0	0.087722159	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Other;Other;Other;Other	7.65E-05	0.004624277	0.003157246	0	0.007346883	0.000486855	0.000372833	0	0.002115217	0.001751453	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
